id,title,slug,price,location,address,property_type,bedrooms,bathrooms,land_size,building_size,status,description,image_url,gallery_urls,contact_name,contact_phone,featured,created_at,updated_at
P001,"Rumah Modern 2 Lantai Cilandak Town Residence",rumah-modern-cilandak-town-residence,4250000000,"Jakarta Selatan","Jl. Intan RSPP, Cilandak Barat, Jakarta Selatan",rumah,4,3,180,240,available,"Rumah modern dengan pencahayaan alami yang optimal, layout keluarga yang efisien, serta akses cepat ke MRT dan pusat perbelanjaan Cilandak Town Square.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1605146769289-440113cc3d00?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=1200&q=80,"Rina Safitri",+6281311110021,true,2026-03-01T09:00:00Z,2026-03-10T08:35:00Z
P002,"Apartemen Premium BSD Sky Garden Tower A",apartemen-premium-bsd-sky-garden-tower-a,1350000000,Tangerang,"Jl. BSD Grand Boulevard, BSD City, Tangerang",apartemen,2,2,0,72,booking,"Unit apartemen premium semi furnished dengan view city light, fasilitas lengkap, dan jarak dekat ke CBD BSD serta akses tol Jakarta-Serpong.",https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1493666438817-866a91353ca9?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1505693314120-0d443867891c?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=1200&q=80,"Andri Gunawan",+6281311110022,true,2026-03-02T09:20:00Z,2026-03-09T06:50:00Z
P003,"Ruko Strategis Summarecon Bekasi Boulevard",ruko-strategis-summarecon-bekasi-boulevard,2950000000,Bekasi,"Jl. Bulevar Ahmad Yani, Summarecon Bekasi",ruko,0,2,90,210,available,"Ruko tiga lantai di koridor komersial ramai dengan visibilitas tinggi. Cocok untuk klinik, kantor cabang, kuliner premium, maupun showroom.",https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1497366216548-37526070297c?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1497215842964-222b430dc094?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1497366754035-f200968a6e72?auto=format&fit=crop&w=1200&q=80,"Mira Purnamasari",+6281311110023,false,2026-03-03T08:15:00Z,2026-03-10T12:10:00Z
P004,"Tanah Kavling Dago Atas View Kota Bandung",tanah-kavling-dago-atas-view-kota-bandung,3800000000,Bandung,"Jl. Bukit Pakar Timur, Dago Atas, Bandung",tanah,0,0,760,0,available,"Kavling siap bangun dengan kontur ideal, panorama kota Bandung, dan potensi tinggi untuk villa private atau guest house eksklusif.",https://images.unsplash.com/photo-1500382017468-9049fed747ef?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1472653816316-3ad6f10a6592?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1434725039720-aaad6dd32dfe?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1501785888041-af3ef285b470?auto=format&fit=crop&w=1200&q=80,"Budi Santoso",+6281311110024,true,2026-03-04T10:00:00Z,2026-03-11T04:40:00Z
P005,"Villa Ubud Riverside dengan Kolam Pribadi",villa-ubud-riverside-dengan-kolam-pribadi,5600000000,Bali,"Jl. Raya Sayan, Ubud, Gianyar, Bali",villa,3,3,420,300,sold,"Villa bernuansa tropis modern dengan private pool, area yoga deck, dan pemandangan sungai hijau. Cocok sebagai second home maupun investasi sewa harian.",https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1505692952047-1a78307da8f2?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1512918728675-ed5a9ecdebfd?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?auto=format&fit=crop&w=1200&q=80,"Kadek Ari",+6281311110025,false,2026-03-05T11:30:00Z,2026-03-11T10:05:00Z
P006,"Rumah Keluarga Citraland Surabaya Barat",rumah-keluarga-citraland-surabaya-barat,2400000000,Surabaya,"Jl. Emerald Mansion, Citraland, Surabaya Barat",rumah,4,3,162,220,available,"Hunian keluarga di kawasan one-gate system dengan keamanan 24 jam, akses dekat sekolah nasional, rumah sakit, dan pusat kuliner Surabaya Barat.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1600566752227-8f3b8fa9d5f9?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1600573472550-8090b5e0745e?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?auto=format&fit=crop&w=1200&q=80,"Dina Kartika",+6281311110026,false,2026-03-06T09:05:00Z,2026-03-12T07:45:00Z
P007,"Apartemen Studio Setiabudi Kuningan Fully Furnished",apartemen-studio-setiabudi-kuningan-fully-furnished,780000000,Jakarta,"Jl. Setiabudi Tengah, Kuningan, Jakarta Selatan",apartemen,1,1,0,36,available,"Studio siap huni untuk profesional muda, interior modern, fasilitas gym dan kolam renang, serta akses cepat ke kawasan perkantoran Kuningan.",https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1493809842364-78817add7ffb?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=1200&q=80,"Arif Ramadhan",+6281311110027,true,2026-03-07T07:20:00Z,2026-03-12T11:20:00Z
P008,"Ruko Hook Gading Serpong Golden 8",ruko-hook-gading-serpong-golden-8,3450000000,Tangerang,"Jl. Boulevard Raya Gading Serpong, Tangerang",ruko,0,3,120,255,booking,"Ruko posisi hook dengan traffic kendaraan tinggi, parkir luas, dan lingkungan usaha mapan. Ideal untuk kantor pemasaran, klinik, atau retail premium.",https://images.unsplash.com/photo-1487958449943-2429e8be8625?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1483366774565-c783b9f70e2c?auto=format&fit=crop&w=1200&q=80,"Nina Lestari",+6281311110028,false,2026-03-08T10:40:00Z,2026-03-13T05:30:00Z
P009,"Tanah Komersial By Pass Ngurah Rai Sanur",tanah-komersial-by-pass-ngurah-rai-sanur,7900000000,Bali,"Jl. By Pass Ngurah Rai, Sanur, Denpasar",tanah,0,0,1250,0,available,"Lahan komersial legalitas lengkap di koridor utama Denpasar-Sanur dengan potensi tinggi untuk hotel butik, klinik, maupun pusat layanan gaya hidup.",https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1434725039720-aaad6dd32dfe?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1469474968028-56623f02e42e?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&w=1200&q=80,"Wayan Putra",+6281311110029,true,2026-03-09T08:00:00Z,2026-03-13T08:55:00Z
P010,"Rumah Baru Jatiasih Green Court Bekasi",rumah-baru-jatiasih-green-court-bekasi,1150000000,Bekasi,"Jl. Wibawa Mukti II, Jatiasih, Bekasi",rumah,3,2,90,110,sold,"Rumah baru dengan desain compact modern, listrik 2200 watt, dan lingkungan cluster yang nyaman untuk keluarga muda dengan akses tol JORR dekat.",https://images.unsplash.com/photo-1575517111478-7f6afd0973db?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1518780664697-55e3ad937233?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1519710164239-da123dc03ef4?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1572120360610-d971b9d7767c?auto=format&fit=crop&w=1200&q=80,"Yusuf Pratama",+6281311110030,false,2026-03-10T06:10:00Z,2026-03-14T09:10:00Z
P011,"Villa Ocean Breeze Ungasan Bali Selatan",villa-ocean-breeze-ungasan-bali-selatan,8750000000,Bali,"Jl. Pura Batu Pageh, Ungasan, Badung, Bali",villa,4,4,510,380,available,"Villa mewah dengan pemandangan laut, private pool panjang, area barbeque, dan akses cepat ke beach club serta destinasi premium di Bali Selatan.",https://images.unsplash.com/photo-1613977257363-707ba9348227?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1601918774946-25832a4be0d6?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1499793983690-e29da59ef1c2?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1464890100898-a385f744067f?auto=format&fit=crop&w=1200&q=80,"Made Pramana",+6281311110031,true,2026-03-11T10:30:00Z,2026-03-14T11:25:00Z
P012,"Apartemen Keluarga Buah Batu Residence Bandung",apartemen-keluarga-buah-batu-residence-bandung,920000000,Bandung,"Jl. Soekarno Hatta, Buah Batu, Bandung",apartemen,2,1,0,48,available,"Unit apartemen keluarga dengan tata ruang fungsional, sistem keamanan 24 jam, serta akses mudah ke Tol Buah Batu dan kawasan pendidikan Bandung.",https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1493809842364-78817add7ffb?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1505691723518-36a5ac3be353?auto=format&fit=crop&w=1200&q=80,"Rizky Maulana",+6281311110032,false,2026-03-12T07:00:00Z,2026-03-15T08:40:00Z
